model_name,hash,training_time_sec,training_epochs,loss,val_loss,rel_val_error,rel_test_err,val_mse,val_mae,val_r2,test_mse,test_mae,test_r2
NNModel1,f166c1,147.5818,220,56.6983,55.8722,0.1488,0.1975,55.3031,4.5486,0.9982,37.8540,3.8856,0.9989
PaperModelFEA,9a67a9,69.2247,165,209.7445,256.4377,0.3477,0.2856,256.4377,11.4131,0.9915,246.3556,10.9207,0.9929
PaperModelFEA,b1199c,90.4809,232,314.2789,281.2419,0.2622,0.3189,281.2419,11.9812,0.9907,323.9406,12.7309,0.9907
PaperModelFEA,05d440,83.2934,200,239.1428,272.3423,0.4630,0.3898,272.3423,11.4645,0.9910,251.1036,11.2651,0.9928
PaperModelFEA,60cacd,78.0411,211,168.5196,254.9427,0.4222,0.3853,254.9427,10.9014,0.9916,192.4039,9.9349,0.9945
NNModel1,fd9d57,97.0233,150,63.4127,57.7005,0.1145,0.1640,56.7953,4.7870,0.9981,46.6283,4.4717,0.9987
NNModel1,94d38f,101.5875,153,60.4707,54.6652,0.1049,0.1566,53.6663,4.1788,0.9982,38.4860,3.8949,0.9989
NNModel1,326458,139.8499,212,57.0910,61.8375,0.1426,0.1507,61.4670,4.3548,0.9980,48.8969,3.9566,0.9986
NNModel1,c17469,97.5597,144,67.8968,99.1762,0.1372,0.1588,98.2577,5.3986,0.9968,46.1500,4.2701,0.9987
NNModel1,0529ab,72.9668,100,79.5689,85.6544,0.1893,0.2494,85.6019,6.0197,0.9972,98.2923,6.0833,0.9972
PaperModelFEA,c47b5b,59.9291,166,285.4520,270.9799,0.3075,0.3809,270.9799,10.8582,0.9911,272.5671,11.2898,0.9922
PaperModelFEA,5954c0,62.4814,189,354.0930,338.8468,0.3869,0.3165,338.8468,12.3067,0.9888,322.7677,12.3909,0.9908
PaperModelFEA,cc7679,85.0793,257,94.0742,178.4673,0.3152,0.2507,178.4673,8.2242,0.9941,111.4772,7.3184,0.9968
PaperModelFEA,3bd06a,62.4592,170,262.5299,280.6775,0.3818,0.2875,280.6775,10.9589,0.9907,294.4072,11.2517,0.9916
PaperModelFEA,fc16fe,46.7797,129,332.5478,315.4671,0.4028,0.2323,315.4671,12.3241,0.9896,314.3302,11.8902,0.9910
PaperModelFEA,af9734,63.2849,180,279.6591,315.4852,0.3410,0.2927,315.4852,11.9016,0.9896,310.3882,12.1106,0.9911
PaperModelFEA,f4b410,93.9424,269,96.2716,146.0965,0.2893,0.3059,146.0965,8.0357,0.9952,107.4639,7.3613,0.9969
NNModel1,3add78,80.8271,117,65.4901,88.8212,0.1054,0.1537,80.6374,5.2867,0.9973,67.3955,4.9261,0.9981
NNModel1,c66ccc,80.6443,122,70.3544,67.9234,0.1282,0.1866,66.4027,5.1862,0.9978,71.7178,5.3042,0.9979
NNModel1,b1c9e6,97.3045,149,64.0508,89.2048,0.2080,0.1837,88.3277,5.2030,0.9971,51.2356,4.5622,0.9985
NNModel1,53e97f,69.2434,107,75.0370,165.1332,0.1298,0.2437,145.2313,6.1684,0.9952,116.8293,6.1772,0.9967
NNModel1,b0d741,65.0744,99,78.8269,81.9432,0.1530,0.2074,78.1719,5.5913,0.9974,78.1729,5.5957,0.9978
NNModel1,22cd72,114.1112,183,59.6670,55.6204,0.1075,0.1026,54.8214,4.4952,0.9982,53.6740,4.2013,0.9985
NNModel1,94b7fc,66.9937,106,79.9890,79.2693,0.1529,0.1428,75.8292,5.4296,0.9975,59.0556,4.7048,0.9983
NNModel1,741ab8,122.4894,197,48.4898,61.1857,0.0944,0.1415,60.3808,4.1629,0.9980,28.3100,3.3769,0.9992
NNModel1,43d900,92.7699,138,61.5265,78.7601,0.1308,0.2013,78.1154,4.8413,0.9974,58.1121,4.4784,0.9983
NNModel1,c56cc1,85.5038,127,100.4337,125.1831,0.1343,0.2122,124.1475,6.1932,0.9959,102.3525,5.5574,0.9971
PaperModelModified,8fddf9,38.9072,102,145.0033,195.0241,0.2543,0.2733,163.7053,8.6029,0.9946,137.1650,8.1549,0.9961
PaperModelModified,a0c007,42.7876,110,175.4587,174.2655,0.1934,0.3023,148.6923,7.6032,0.9951,128.0469,7.1851,0.9963
PaperModelModified,25f830,44.4784,115,247.0922,223.9611,0.1724,0.2953,208.0543,9.5961,0.9931,176.7566,9.3020,0.9949
PaperModelModified,c5dbf9,26.1153,63,301.7284,632.9297,0.2643,0.2978,341.1848,12.9782,0.9887,305.7411,13.1271,0.9912
PaperModelModified,0d2e9d,31.7873,84,418.9189,463.0102,0.3298,0.2536,368.1115,13.2900,0.9879,349.8234,12.6900,0.9900
PaperModelModified,2866b9,47.1387,116,158.9785,319.4319,0.2203,0.2715,184.7213,8.8367,0.9939,186.4774,8.6327,0.9947
PaperModelModified,87fb8b,43.9794,124,233.1153,289.2004,0.3318,0.3061,218.7072,11.2769,0.9928,245.6142,10.9132,0.9930
PaperModelModified,e17c70,47.4032,116,153.9701,207.2908,0.3034,0.3339,152.3790,8.4689,0.9950,97.0350,7.2936,0.9972
PaperModelModified,83022e,39.1269,106,119.9053,183.8624,0.2548,0.2329,136.3128,8.1814,0.9955,93.3429,6.7845,0.9973
PaperModelModified,1c9d87,67.4319,176,127.6087,223.6498,0.2758,0.2170,122.3322,7.7382,0.9960,106.6718,7.1977,0.9969
